#⃣	Teclas: #|Teclas
*⃣	Teclas: *|Teclas
💒	casamiento en capilla|boda|capilla|casamiento|ceremonia|iglesia|iglesia celebrando boda|romance
💓	corazón latiendo|amor|corazón|corazón palpitante|corazón que palpita|emoción|latidos|palpitar
💔	corazón roto|corazón|corazón partido|desamor|emoción|rompimiento|separación|tristeza
💕	dos corazones|amantes|amor|corazon|corazón|emoción|enamorado|xoxo
💖	corazón brillante|amor|corazón emocionado|emoción|felicidad
💗	corazón creciente|amor|corazón|corazón inquieto|corazón que crece|emoción|entusiasmado|latidos|nervios|nervioso
💘	corazón con flecha|amor|corazón|emoción|flecha
💙	corazón azul|amor|azul|corazón|emoción
💚	corazón verde|amor|corazón|emoción|verde
💛	corazón amarillo|amarillo|amistad|corazón|emoción
💜	corazón morado|corazón|emocion|emoción|morado
💝	corazón con lazo|amor|aniversario|beso|corazón|corazón con moño|emoción|lazo|moño|san valentín
💞	corazones que giran|amor|amor en el aire|corazón|emoción|girar|sentimiento|vueltas
💟	adorno de corazón|amor|corazón|corazón de decoración|decoración de corazón|emocion|violeta
💠	rombo con pétalo|adorable|cómic|diamante|emoción|flor|pétalo de flor|rombo
💡	foco|bombilla|bombillo|cómic|electricidad|idea|lámpara|lamparita|luz
💢	enojo|cómic|cómics|emoción|enfadado|enfado|señal de enfado|señal de enojo
💣	bomba|explosión
💤	símbolo de sueño|a dormir|buenas noches|cansancio|cómics|pereza|roncar|ronquido|siesta|sueño|zzz
💥	colisión|bomba|choque|cómic|emoción|explosion|explosión|fuegos artificiales|petardo|símbolo de colisión
💦	gotas de sudor|chorro|chorro de agua|cómic|cómics|emoción|gotas|salpicar|sudar|sudor
💧	gota|agua|clima|cómic|frío|lluvia|sudar|sudor
💨	salir corriendo|carrera|cómic|emoción|flatulencia|humo|nube|pedo|rápido|velocidad|viento
💩	caca|apesta|baño|chocolate|cómico|estiércol|gracioso|laxante|popó|wc
💪	bíceps flexionado|bicep|bíceps|cómic|cuerpo|ejercicio|fuerte|fuerza|gimnasio|gym|músculo
💫	mareado|brillar|cómic|emoción|estrella|estrella fugaz|estrellas|mareo|ver
💬	globo de diálogo|bocadillo|burbuja|cómic|diálogo|globo|hablar|idea|nube
💭	globo de pensamiento|bocadillo de pensamiento|burbuja|burbuja de pensamiento|cómic|globo|idea|nube|pensamiento|pensar
💮	flor blanca|bien hecho|flor|sello|sello de flor
💯	100 puntos|100|al 100|cien|claramente|completo|de acuerdo|definitivamente
💰	bolsa de dinero|banco|bolsa|cash|dinero|plata
💱	cambio de divisas|banco|cambio|cambio de divisa|dinero|divisa|dolar|moneda|yen
💲	símbolo de dólar|cash|dinero|dólar|efectivo|moneda|pagar
💳	tarjeta de crédito|compras|crédito|dinero|pagar|pago|tarjeta
💴	billete de yen|banco|billete|billete de banco|cash|dinero|efectivo|yen
💵	billete de dólar|banco|billete|billete de banco|dinero|dólar|fajo de billetes|moneda
💶	billete de euro|banco|billete|billete de banco|cash|dinero|euro|fajo de billetes
💷	billete de libra|banco|billete|billete de banco|cash|dinero|fajo de billetes|libra
💸	billete con alas|alas|billete|billete de banco|billetes|cash|dinero con alas|dinero volando|sin dinero
💹	mercado en alza|alza|mercado|mercado al alza|mercado alcista|tabla
💺	asiento de transporte|asiento|plaza|silla
💻	laptop|computadora|netbook|notebook|ordenador|pc|personal|portátil
💼	maletín|cartera|documentos|maleta|portadocumentos
💽	minidisco|computadora|disco|md|minidisc|musica|ordenador|pc
💾	disquete|computadora|disco|disco de 3 1/2|diskette|floppy|ordenador
💿	disco óptico|Blu-ray|cd|CD|disco|dvd|DVD|óptico
📀	DVD|blu-ray|cd|computadora|disco|dvd|música
📁	carpeta de archivos|archivo|carpeta|folder
📂	carpeta de archivos abierta|abierta|archivar|archivo|carpeta|carpeta archivos abierta
📃	documento doblado|doblada|documento|hoja|página|papel
📄	documento|anverso|frente|hoja|página|página por delante|papel
📅	calendario|17|almanaque|calendario sin anillas|cita|diecisiete|fecha|reunión
📆	calendario con hojas|17|almanaque|calendario|diecisiete|fecha|hojas
📇	organizador de fichas|índice|organizador|Rolodex|tarjetas|tarjetero
📈	tendencia ascendente|alza|ascendente|aumentar|gráfico|gráfico tendencia ascendente|mejor|mejorar|positivo|tabla
📉	tendencia descendente|datos|descendente|disminuir|empeorar|gráfico|negativo|peor|reducir|tabla
📊	gráfico de barras|gráfico
📋	portapapeles|carpeta|lista|papeles|pedido|pinza|sujetapapeles|tabla|tablon
📌	chincheta|chinche|pin|tachuela
📍	chincheta redonda|chinche|chincheta|mapa|tachuela|ubicacion
📎	clip para hojas|adjunto|clip|hojas|papel|sujetapapeles
📏	regla recta|angulo|medida|medir|regla
📐	escuadra|angulo|regla|triangular|triángulo
📑	pestañas de marcador|marcador|marcadores|pestañas
📒	libro de contabilidad|contabilidad|cuaderno|libro
📓	cuaderno|escuela|estudiar|libreta|negro
📔	cuaderno con tapa decorativa|cuaderno|cuaderno con decoración|decorado|tapa
📕	libro cerrado|cerrado|escuela|estudiar|libro
📖	libro abierto|abierto|biblioteca|educación|escuela|leer|librería|libro
📗	libro verde|educación|escuela|estudiar|leer|libro|verde
📘	libro azul|azul|educación|escuela|estudiar|leer|libro
📙	libro anaranjado|anaranjado|educación|escuela|estudiar|leer|libro|naranja
📚	libros|colegio|educación|escuela|estudiar|leer|libro|novelas|pila
📛	identificación con nombre|etiqueta|etiqueta identificativa|identificación|nombre|prendedor|rojo
📜	pergamino|documento|pergamino de papel|título
📝	nota|comunicación|cuaderno de notas|escribir|lapiz|memo|recordatorio
📞	teléfono|auricular de teléfono|comunicación|llamada|llamar|teléfono analógico|voip
📟	buscapersonas|bíper|busca|comunicación|localizador|mensáfono
📠	máquina de fax|comunicación|fax
📡	antena satelital|antena|antena de satélite|comunicación|emisión|satélite|señal
📢	altavoz de mano|altavoces|altavoz|anuncio|comunicación|estadio|parlante
📣	megáfono|altavoz|anuncio|comunicación|parlante
📤	bandeja de salida|bandeja|carta|comunicación|correo|enviado|enviados|salida|saliente
📥	bandeja de entrada|bandeja|carta|comunicación|correo|entrada|entrante|recibido|recibidos
📦	paquete|caja
📧	correo electrónico|carta|comunicación|correo|e-mail|electrónico|email|sobre
📨	mensaje entrante|carta|comunicación|correo|correo entrante|electrónico|mensaje|recibido|sobre
📩	mensaje saliente|carta|comunicación|correo|correo electrónico|correo saliente|enviado|mensaje|sobre
📪	buzón cerrado bandera baja|bandera|buzón|buzón cerrado bandera bajada|buzón vacío cerrado|carta|correo|vacío
📫	buzón cerrado bandera levantada|bandera|buzón|buzón cerrado bandera subida|buzón lleno cerrado|correo|lleno|postal
📬	buzón abierto bandera levantada|bandera|buzón|buzón abierto bandera bajada|buzón vacío abierto|carta|correo|vacío
📭	buzón abierto bandera baja|bandera|buzón|buzón abierto bandera subida|buzón lleno abierto|correo|lleno|postal
📮	buzón|cartas|correo
📯	corneta de correo|clarín|corneta|corneta de posta|correo|instrumento|musica
📰	periódico|comunicacion|diario|leer|noticias
📱	teléfono móvil|celular|móvil|teléfono
📲	teléfono móvil con una flecha|celular|comunicación|flecha|hacer llamada|hacer una llamada|llamada entrante|móvil|recibir llamada|teléfono
📳	modo vibración|celular|móvil|teléfono|vibración|vibrar
📴	celular apagado|apagado|apagar|celular|móvil|teléfono
📵	no se permiten celulares|celular|móvil|móviles prohibidos|no hacer llamadas|prohibido|prohibido el uso de móviles|teléfono
📶	barras de cobertura|antena|antena con barras|celular|cobertura|intensidad de señal|móvil|señal|señal de cobertura|teléfono
📷	cámara fotográfica|cámara|cámara de fotos|foto|fotografía|fotos
📸	cámara con flash|cámara|flash|foto
📹	videocámara|cámara|grabación|grabar|película|video
📺	televisor|televisión|tv|TV|video
📻	radio|música|transmisión
📼	cinta de video|cinta|cinta de vídeo|vhs|video
📽	proyector de cine|cine|película|películas|proyector|video
📿	rosario|collar|cuentas|oración|religión|rezar
🔀	reproducción aleatoria|cruzado|flechas|flechas entrecruzadas
🔁	repetir|flechas|repetición
🔂	repetir una vez|flecha|flechas|música|repetición|repetir|repetir solo uno|uno
🔃	flechas verticales en sentido horario|flechas|flechas verticales sentido horario|horario|señal de recarga
🔄	flechas horizontales en sentido horario|dirección|flechas|flechas en sentido antihorario|señal de recarga|sentido antihorario
🔅	brillo bajo|bajo|brillo|señal de brillo bajo|tenue
🔆	brillo alto|brillante|brillar|brillo
🔇	altavoz silenciado|altavoz con marca de cancelación|corneta|silencio|sin sonido|sin voz
🔈	altavoz a volumen bajo|altavoz|bocina|corneta|sonido|volumen bajo
🔉	altavoz a volumen medio|altavoz con volumen medio|altavoz encendido|bocina|medio|volumen medio
🔊	altavoz a volumen alto|altavoz|altavoz con volumen alto|alto|bocina|corneta|sonido|volumen
🔋	pila|batería
🔌	enchufe eléctrico|corriente|electricidad|eléctrico|enchufe
🔍	lupa hacia la izquierda|aumento|buscar|hacia la izquierda|instrumento|lupa|lupa apuntando izquierda
🔎	lupa hacia la derecha|aumento|buscar|hacia la derecha|instrumento|lupa|lupa apuntando derecha
🔏	candado y lapicera|candado|candado con pluma|candado con una estilográfica|lapicera|pluma|pluma estilográfica|privacidad|protegido|protegido contra escritura
🔐	candado cerrado y llave|candado|candado con una llave|cerrado|llave|protegido|protegido con contraseña|seguridad|seguro
🔑	llave|contraseña
🔒	candado cerrado|candado|cerrado|privado|protegido|seguridad
🔓	candado abierto|abierto|abrir|candado|cerrado|seguro
🔔	campana|capilla|iglesia
🔕	campana con signo de cancelación|campana|modo|no hacer ruido|prohibido|prohibido tocar campanas|silencio
🔖	marcapáginas|etiqueta|marcador|señalador
🔗	eslabones de cadena|cadena|enlace|enlaces|eslabones|vínculo
🔘	botón de opción|botón|botón de radio|opción|radio
🔙	flecha BACK|atrás|atrás con flecha izquierda|back|flecha|flecha a la izquierda
🔚	flecha END|final|final con flecha izquierda|flecha|flecha a la izquierda
🔛	flecha ON!|flecha|flecha de doble punta con la palabra "on" encima|on|señal
🔜	flecha SOON|flecha|soon|soon con flecha a la derecha
🔝	flecha TOP|arriba|flecha hacia arriba|top|top con flecha hacia arriba
🔞	prohibido para menores de 18|18|menores de 18|nadie menor de 18|prohibido|prohibido menores 18|prohibido para menores de 18 años|prohibido para menos de 18 años
🔟	Teclas: 10|Teclas
🔠	letras latinas mayúsculas|ABCD|abecedario|alfabeto|letras mayúsculas|mayúsculas
🔡	letras latinas minúsculas|abecesario|alfabeto|letras minúsculas|letras minúsculas latinas|minúsculas|minúsculas latinas
🔢	números|1234|dígitos
🔣	símbolos|&|%|♪|〒
🔤	alfabeto latino|ABC|abecedario|alfabeto|inglés|latino
🔥	fuego|arder|caliente|llama
🔦	linterna|luz
🔧	llave inglesa|herramienta|mecánico
🔨	martillo|herramienta
🔩	perno con tuerca|herramienta|mecánico|perno|tornillo|tornillo y tuerca|tuerca
🔪	cuchillo de cocina|arma|chef|cocina|cuchillo
🔫	pistola de agua|arma|pistola|revólver
🔬	microscopio|biología|experimento|instrumento|investigación|laboratorio
🔭	telescopio|astronomía|ciencia|espacio|instrumento
🔮	bola de cristal|adivinación|adivinar|adivino|bola|buena fortuna|cristal|fantasia|fantasía|futuro|magia
🔯	estrella de seis puntas|adivinación|buena fortuna|estrella seis puntas|estrellas|seis puntas
🔰	símbolo japonés de principiante|amarillo|hoja|hoja verde y amarilla|japonés|principiante|símbolo japonés para principiante|verde|verde y amarillo
🔱	emblema de tridente|ancla|barco|emblema|tridente
🔲	cuadrado blanco con borde negro|blanco|borde|botón|cuadrado|geometría|geométrico|marco|negro
🔳	cuadrado negro con borde blanco|blanco|borde|botón|cuadrado|marco|negro
🔴	círculo rojo|círculo|círculo rojo grande|geometria|punto|rojo
🔵	círculo azul|azul|círculo|círculo azul grande
🔶	diamante naranja grande|anaranjado|diamante|naranja|rombo|rombo naranja grande
🔷	diamante azul grande|azul|diamante|rombo
🔸	diamante naranja pequeño|anaranjado|diamante|naranja|rombo|rombo naranja pequeño
🔹	diamante azul pequeño|azul|diamante|rombo|rombo azul pequeño
🔺	triángulo rojo hacia arriba|rojo|triángulo|triángulo hacia arriba rojo
🔻	triángulo rojo hacia abajo|rojo|triángulo|triángulo hacia abajo rojo|tríangulo rojo hacia abajo
🔼	triángulo hacia arriba|botón|botón triángulo hacia arriba|triángulo
🔽	botón hacia abajo|abajo|bajar|botón|botón triángulo hacia abajo|flecha|triángulo|triángulo hacia abajo
🕉	om|hindú|religión
🕊	paloma|animal|ave|pájaro|paloma de la paz|paz
🕋	Kaaba|edificio|islam|kaaba|musulmán|religión
🕌	mezquita|edificio|islam|musulmán|religión
🕍	sinagoga|edificio|judaísmo|religión|signagoga|templo
🕎	menorá|candelabro|judaísmo|judío|religión
🕐	1 en punto|1|1:00|reloj|tiempo|una
🕑	2 en punto|2|2:00|dos|reloj|tiempo
🕒	3 en punto|3|3:00|reloj|tiempo|tres
🕓	4 en punto|4|4:00|cuatro|reloj|tiempo
🕔	5 en punto|5|5:00|cinco|reloj|tiempo
🕕	6 en punto|6|6:00|reloj|seis|tiempo
🕖	7 en punto|7|7:00|reloj|siete
🕗	8 en punto|8|8:00|ocho|reloj|tiempo
🕘	9 en punto|9|9:00|nueve|reloj|tiempo
🕙	10 en punto|10|10:00|diez|reloj|tiempo
🕚	11 en punto|11|11:00|once|reloj|tiempo
🕛	12 en punto|12|12:00|doce|hora|punto|reloj|tiempo
🕜	una y media|1|1:30|hora|media|reloj|tiempo|una
🕝	dos y media|2|2:30|dos|media|reloj|tarde|tiempo
🕞	tres y media|3|media|reloj|tiempo|tres
🕟	cuatro y media|4|4:30|cuatro|media|reloj|tiempo
🕠	cinco y media|5|5:30|cinco|media|reloj|tiempo
🕡	seis y media|6|6:30|media|reloj|seis|tiempo
🕢	siete y media|7|7:30|media|reloj|siete|tiempo
🕣	ocho y media|8|8:30|media|ocho|reloj|tiempo
🕤	nueve y media|9|9:30|media|nueve|reloj|tiempo
🕥	diez y media|10|10:30|diez|media|reloj|tiempo
🕦	once y media|11|11:30|media|once|reloj|tiempo
🕧	doce y media|12|12:30|doce|media|reloj|tiempo
🕯	vela|cera|fuego|luz
🕰	reloj de repisa|decoración|despertador|reloj|reloj de sobremesa|repisa|sobremesa|tiempo
🕳	agujero|agujero negro|hueco|negro|orificio
🕴	persona con traje levitando|levitar|negocios|persona|persona trajeada levitando|traje
🕵	detective|agente|búsqueda|cara|espía|investigación|lupa|persona|sombrero
🕵‍♀	detective mujer|agente|detective|espía|investigadora|mujer
🕵‍♂	detective hombre|agente|detective|espía|hombre|investigador
🕶	lentes de sol|anteojos|anteojos de sol|gafas|gafas de sol|lestes|oscuras|oscuros|ropa|sol|verano|vestimenta
🕷	araña|animal|insecto
🕸	telaraña|araña|tela|tela de araña
🕹	joystick|juego|mando|palanca|videojuego
🕺	hombre bailando|bailar|baile|elvis|hombre
🖇	clips unidos|clips|sujeta papeles|unidos|unión
🖊	lapicera|boli|bolígrafo|escribir|lapicero|nota|pluma
🖋	pluma fuente|bolígrafo|escribir|lapicera|pluma|tinta
🖌	pincel|arte|artista|pintar
🖍	crayón|cera|color|creyon|dibujar|lápiz|lápiz de cera|pintar|pintura
🖐	mano abierta|cinco|cuerpo|dedos|mano|palma|palma de mano|yo
🖕	dorso de mano con dedo medio hacia arriba|dedo|dedo del medio|dorso de mano|insulto|mano|medio
🖖	saludo vulcano|dedos|mano|saludo|spock|star|trek|vulcano
🖤	corazón negro|corazón|negro
🖥	computadora de escritorio|computadora|escritorio|ordenador|ordenador de sobremesa|sobremesa
🖨	impresora|accesorio|computadora|impresión|imprimir|ordenador
🖱	mouse|accesorio|computadora|ordenador|pc|ratón|ratón de ordenador
🖲	rueda de desplazamiento|accesorio|bola de desplazamiento|computadora|ordenador|pc|raton
🖼	cuadro enmarcado|arte|cuadro|marco|montana|museo|naturaleza|pintura
🗂	separadores para tarjetas|archivos|carpeta|fichas|índice|separador|separador de fichas
🗃	organizador de tarjetas|archivo|archivos|caja|fichero
🗄	archivador|archivos|oficina|organizador
🗑	papelera|basura|cesta|cesto|papeles
🗒	bloc de notas con espiral|anotador|cuaderno|escribir|espiral|notas
🗓	calendario con espiral|almanaque|calendario|espiral|fechas
🗜	tornillo de banco|herramienta|tornillo|torniquete
🗝	llave antigua|abrir|antigua|llave
🗞	periódico enrollado|diario|leer|noticias|papel|periódico
🗡	daga|arma|armas|cuchillo|puñal
🗣	silueta hablando|anuncio|cabeza|cara|hablar|silueta|silueta persona habla
🗨	globo de diálogo izquierdo|bocadillo de diálogo|burbuja|cómic|diálogo|globo|idea|izquierdo
🗯	globo de enojo derecho|bocadillo|bocadillo de enfado por la derecha|cabreo|enfado|rabia
🗳	urna con papeleta|elecciones|urna|urna con voto|votacion|votación|voto
🗺	mapamundi|atlas|mapa|mapa del mundo|mapa mundial|mundo
🗻	monte Fuji|montaña|monte|Monte Fuji|naturaleza
🗼	Torre de Tokio|Tokio|torre
🗽	Estatua de la Libertad|Estados Unidos|estatua|libertad|New York|Nueva York|NYC
🗾	mapa de Japón|Japón|mapa
🗿	estatua de la isla de Pascua|estatua|isla|moái|Moái|Pascua
😀	cara sonriendo|cara|contento|diente|divertido|felicidad|feliz|sonrisa
😁	cara radiante con ojos sonrientes|cara|cara riendo con ojos sonrientes|cara y ojos sonrientes|dientes|divertido|feliz ojos sonrientes|ojo|ojos sonrientes|risa|sonrisa
😂	cara llorando de risa|cara|cara con lágrimas de felicidad|cara llorando|divertido|felicidad|feliz|jajajajajaja|jejejejejeje|lol
😃	cara sonriendo con ojos grandes|boca abierta|cara|cara sonriente con boca abierta|divertido|risa|sonriendo|sonrisa|sonrisa boca abierta|sonrisa con boca abierta
😄	cara sonriendo con ojos sonrientes|boca abierta|boca y ojos sonrientes|cara|cara feliz|dientes|divertido|ojos|ojos sonrientes|sonrisa|sonrisa ojos sonrientes
😅	cara sonriendo con sudor frío|boca abierta|cara|frio|sonrisa|sonrisa boca abierta|sonrisa pero con sudor frío|sonrisa sudor frío|sonrisa y sudor frío|sudor|sudor frío
😆	cara sonriendo con los ojos cerrados|boca abierta|cara|jajaja|jejeje|ojos cerrados|risa|sonrisa con boca abierta y ojos cerrados|sonrisa con los ojos cerrados|xd
😇	cara sonriendo con aureola|ángel|angelical|aureola|cara|feliz|inocente|sonriente con aureola|sonrisa|sonrisa con aureola
😈	cara morada sonriendo con cuernos|diablito|diablo|fantasía|hacer travesuras|malicioso|pícaro|pillo|sonriente con cuernos|sonrisa|travesuras
😉	cara guiñando el ojo|-)|)|apachando el ojo|cara|cara con guiño|guiñando el ojo|guiño|sexy
😊	cara feliz con ojos sonrientes|cara|cara alegre|cara con ojos sonrientes|cara sonriente|feliz|ojos|ojos sonrientes|satisfecho|sonrisa|sonrojarse
😋	cara saboreando comida|antojo|cara|comida|comida deliciosa|delicioso|hambre|lengua|ñam ñam|rico|satisfecho
😌	cara de alivio|alivio|cara|cara feliz|satisfacción|tranquilidad
😍	cara sonriendo con ojos de corazón|amor|cara|corazón|corazones en los ojos|enamorado|ojos
😎	cara sonriendo con lentes de sol|cara|chévere|cool|lentes de sol|ojos|onda|relax|sol|sonriendo
😏	cara sonriendo con superioridad|cara|gesto de superioridad|hacer travesuras|misterioso|pícaro|sarcástico|sonrisa|sospechoso|travesura
😐	cara neutral|cara de póquer|cara seria|celo|da igual|inexpresivo|neutral|no impresionado|no me impresiona|pokerface|sin expresión
😑	cara sin expresión|cara|cara inexpresiva|inexpresividad|inexpresivo|malo|nada|sin comentarios
😒	cara de desaprobación|aburrido|desaprobación|infeliz|mmm|molesto|mueca|poco divertida|poco divertido|raro
😓	cara con sudor frío|cara|cara abatida con sudor|dolor de cabeza|frío|nervios|sudor|susto|tristeza
😔	cara desanimada|alicaído|cara|cara pensativa|deprimido|desanimado|pensativo|triste
😕	cara de confusión|cara|cara confusa|confundido|confusión|confuso|triste
😖	cara de frustración|cara|cara frustrada|enfadado|enojado|enojo|frustración|frustrado|tristeza
😗	cara dando un beso|amor|besar|besito|beso|cara|cara besando
😘	cara lanzando un beso|amor|beso|cara manda un beso|cariño|corazón|lanzando besos|mandar un beso|romance|te mando un beso
😙	cara besando con ojos sonrientes|beso|beso ojos sonrientes|beso y sonrisa|cara|cara enviando un beso|cara sonriente dando un beso
😚	cara besando con los ojos cerrados|besando con los ojos cerrados|beso|beso con ojos cerrados|cara|cerrados|ojos|sonrojarse|xoxo
😛	cara sacando la lengua|broma|cara|cara feliz|divertido|lengua|lengua fuera|risa|sacar la lengua|xp
😜	cara sacando la lengua y guiñando un ojo|p|broma|cara|divertido|era broma|guiño|lengua|loco|sacar lengua y guiñar
😝	cara con los ojos bien cerrados y sacando la lengua|asco|broma|cara|cara feliz|horrible|lengua fuera|lengua fuera con los ojos cerrados|qué asco|sacar la lengua
😞	cara de decepción|cara|cara decepcionada|culpa|decepción|decepcionado|triste
😟	cara de preocupación|cara|cara preocupada|estres|nervios|preocupacion|preocupación|preocupado|sorprendido
😠	cara enfadada|cara de enojo|cara enojada|enfado|enojo|frustración|histérico
😡	cara de odio|cara de enojo|cara enojada|cara roja|cara roja enojada|enfado|enojo|ira|odio|rojo
😢	cara llorando|cara|cara con llanto|lágrimas|llanto|llorando|llorar|pena|triste|tristeza
😣	cara perseverante|cara|equivocado|estrés|me equivoqué|perdón|perseverante|perseverar|preocupación
😤	cara resoplando|arrecho|cara|cara de mucho enfado|echar humo|enfado|infeliz|mirada de triunfo|molesto|triunfo|victoria
😥	cara triste pero aliviada|alivio|cara|decepción|decepción y alivio|decepcionado|decepcionado pero aliviado|preocupación|sudor|susto
😦	cara boquiabierta|abierta|boca|cara|ceño fruncido|ceño fruncido con boca abierta
😧	cara de angustia|angustiado|cara|cara angustiada|infeliz|sufrimiento|sufrir
😨	cara de miedo|asustado|cara|cara asustada|horror|miedo|susto|temor|terror
😩	cara agotada|agotado|cansado|cara|cara de cansancio|exhausto|llorar|noooo
😪	cara de sueño|cara|cara somnolienta|gota|mocos|resfriado|somnoliento|sueño
😫	cara cansada|agotado|cansado|cara|cara de exhausto|exhausto|sufrir|triste
😬	cara haciendo una mueca|cara|cara feliz|cara haciendo mueca|dientes|disculpa|mueca|perdón|sonreír|sonriente|ups
😭	cara llorando fuerte|cara|lágrimas|llorando|llorando fuerte|llorar|triste
😮	cara con la boca abierta|abierta|asustado|boca|cara|cara con boca abierta|empatía|oops|sorpresa
😮‍💨	cara exhalando|agotado|cara|exhalar|resoplido|respirar|silbido|soplar|toser
😯	cara estupefacta|cara|confusion|sorprendido|sorpresa|susto
😰	cara con ansiedad y sudor|apuro|asustad|azul|boca abierta|cara|cara acelerada|frio|nervios|sudor|sudor frío
😱	cara gritando de miedo|cara atemorizada|cara de terror|gritando de miedo|grito|horror|miedo|sorpresa|susto
😲	cara asombrada|asombro|cara|cara de asombro|horrorizado|pasmado|sorprendido|sorpresa|susto|totalmente pasmado
😳	cara sonrojada|asombro|aturdido|caliente|calor|ejercicio|guau|incredulidad|torpe|vergüenza
😴	cara durmiendo|buenas noches|cansancio|cara|dormir|durmiendo|hora de dormir|noche|siesta|sueño|zzzzz
😵	cara mareada|cara|cara de mareado|equis|mareado|soprendido|sorpresa|xx
😵‍💫	cara con ojos en espiral|alucinado|cara con ojos de espiral|confundido|desmayado|hipnotizado|locura|mareado|problema
😶	cara sin boca|cállate|cara|mudo|silencio|sin boca|sin comentario|sin palabras
😶‍🌫	cara entre las nubes|ausente|cabeza en las nubes|cara en la niebla|en las nubes
😷	cara con barbijo|cara|cara con cubrebocas|cara con mascarilla|cubrebocas|enfermedad|gérmenes|gripe|mascarilla|resfriado|resfrío
😸	gato sonriendo con ojos sonrientes|cara de gato|cara de gato riendo con ojos sonrientes|gato|gato llorando de risa|riendo|sonriente|sonrisa
😹	gato llorando de risa|alegría|cara de gato|cara de gato llorando de alegría|divertido|gato|gato llorando de alegría|lágrimas|llorando|risa
😺	gato sonriendo|boca abierta|cara|cara de gato|cara de gato sonriendo con la boca abierta|felicidad|feliz|gato|minino|sonrisa
😻	gato sonriendo con ojos de corazón|amor|animal|cara de gato|cara de gato sonriendo con corazones en los ojos|corazones|enamorado|gato|gato sonriendo corazones|gato sonriente con corazones
😼	gato haciendo una mueca|cara|cara de gato|gato|irónico|sarcástico|sonrisa|sonrisa irónica
😽	gato mandando un beso|besando|beso|cara|cerrados|gato|ojos
😾	gato enfadado|animal|cara|cara de gato|cara de gato enfadado|gato|gato cabreado|gato enojado
😿	gato llorando|cara|cara de gato|cara de gato llorando|gato|llorando|llorar
🙀	gato asustado|animal|cara|cara de gato asustado|felino|gato|gran sorpresa|oh dios mío|sorpresa
🙁	cara con el ceño ligeramente fruncido|cara|cara un poco triste|ceño fruncido|triste|tristeza
🙂	cara sonriendo ligeramente|cara|cara sonriendo levemente|feliz|leve sonrisa|sonrisa|sonrisa leve
🙂‍↔	cabeza en movimiento horizontal|cabeza moviéndose horizontalmente|cabeza negando|negar|no
🙂‍↕	cabeza asintiendo|asentir|cabeza moviéndose verticalmente|sí
🙃	cara al revés|al revés|broma|cara|cara del revés|cara feliz|del revés|loco|sonreír
🙄	cara revoleando los ojos|cara|cara con ojos en blanco|fastidio|frustración|ojos|ojos en blanco|revoleando|revolear los ojos|voltear los ojos
🙅	persona haciendo el gesto de "no"|brazos cruzados|gesto|gesto de está mal|ni lo pienses|no|no te acerques|persona|persona diciendo NO con los brazos|persona haciendo el gesto de NO|prohibido
🙅‍♀	mujer haciendo el gesto de "no"|brazos cruzados|gesto|gesto de está mal|mujer|mujer diciendo NO con los brazos|mujer haciendo el gesto de NO|ni lo pienses|no|no te acerques|prohibido
🙅‍♂	hombre haciendo el gesto de "no"|brazos cruzados|gesto|gesto de está mal|hombre|hombre diciendo NO con los brazos|hombre haciendo el gesto de NO|ni lo pienses|no|no te acerques|prohibido
🙆	persona haciendo el gesto de "de acuerdo"|bien|está bien|gesto de está bien|gesto de OK|mano|omg|persona|persona haciendo el gesto de OK|persona levantando los brazos sobre la cabeza|vale
🙆‍♀	mujer haciendo el gesto de "de acuerdo"|bien|está bien|gesto de está bien|gesto de OK|mano|mujer|mujer haciendo el gesto de OK|mujer levantando los brazos sobre la cabeza|omg|vale
🙆‍♂	hombre haciendo el gesto de "de acuerdo"|bien|está bien|gesto de está bien|gesto de OK|hombre|hombre haciendo el gesto de OK|hombre levantando los brazos sobre la cabeza|mano|omg|vale
🙇	persona haciendo una reverencia|arrepentimiento|disculpa|gesto|lo siento|perdón|perdóname|persona|reverencia|rogar
🙇‍♀	mujer haciendo una reverencia|arrepentimiento|disculpa|gesto|lo siento|mujer|perdón|perdóname|reverencia|rogar
🙇‍♂	hombre haciendo una reverencia|arrepentimiento|disculpa|gesto|hombre|lo siento|perdón|perdóname|reverencia|rogar
🙈	mono con ojos tapados|cara|ciego|cubrir|esconder|mono|no ver|ojos tapados|prohibido|tapar ojos
🙉	mono con orejas tapadas|animal|cara|mono|no escucho|oír|orejas tapadas|ruido|secreto|sordo
🙊	mono con boca tapada|boca tapada|callado|cara|hablar|mono|no|secreto|silencio|ups
🙋	persona levantando la mano|a mí|feliz|hola|levantando la mano|levantar la mano|persona|yo|yo puedo|yo sé
🙋‍♀	mujer levantando la mano|a mí|feliz|hola|levantando la mano|levantar la mano|mujer|yo|yo puedo|yo sé
🙋‍♂	hombre levantando la mano|a mí|feliz|hola|hombre|levantando la mano|levantar la mano|yo|yo puedo|yo sé
🙌	chocar las manos|bravo|celebración|celebrar|chócalas|festejo|hurra|levantando ambas manos en celebración|manos arriba|manos levantadas
🙍	persona frunciendo el ceño|ceño|fruncido|gesto|persona
🙍‍♀	mujer frunciendo el ceño|ceño|fruncido|gesto|mujer|mujer que frunce el seño|persona|triste
🙍‍♂	hombre frunciendo el ceño|ceño|fruncido|gesto|hombre
